Name,Position,DateBirth,Nationality
Alex Oxlade-Chamberlain,Midfielder,26,England
Mohamed Salah,Midfielder,27,Egypt
James Milner,Midfielder,33,England
Nathaniel Clyne,Defender,28,England
Sadio Mane,Midfielder,27,Senegal
Andrew Robertson,Defender,25,Scotland
Simon Mignolet,Goalkeeper,31,Belgium
Jordan Henderson,Centre Midfielder,29,England
Dejan Lovren,Defender,30,Croatia
Adam Lallana,Midfielder,31,England
Divock Origi,Forward,24,Belgium
Adrian,Goalkeeper,32,Spain
Xherdan Shaqiri,Midfielder,28,Switzerland
Virgil van Dijk,Centre Back,28,Netherlands
Alisson Becker,Goalkeeper,27,Brazil
Joseph Gomez,Defender,22,England
Andy Lonergan,Goalkeeper,36,England
Fabinho,Defender,26,Brazil
Roberto Firmino,Midfielder,28,Brazil
Joel Matip,Defender,28,Cameroon
Georginio Wijnaldum,Midfielder,29,Netherlands
Trent Alexander-Arnold,Defender,21,England
Naby Keïta,Midfielder,24,Guinea
Jürgen Klopp,Manager,52,Germany
